0 20,0.76435,0.80434,47.76989,1991.23546,5336.54572,35.99566,2130.08884,5521.50586,7367.74118,10642.07451,14419.65883,660707,24021
0 23,0.61456,0.37689,35.99566,2130.08884,5521.50586,24.03001,2040.40651,5315.36044,102.64705,632.07844,2427.13333,2749304,70731
0 17,0.33828,0.87150,24.03001,2040.40651,5315.36044,16.61727,1950.80756,5294.73505,199.45098,44.14901,1453.76863,589847,22600
0 28,0.80671,0.79129,16.61727,1950.80756,5294.73505,45.66461,1666.20832,4792.53864,9027.95686,14268.37254,31785.37647,1033915,46329
0 23,0.73255,0.88272,45.66461,1666.20832,4792.53864,27.82242,2197.75267,5635.27151,5851.35686,9642.57254,25208.69804,1716334,55335
0 42,0.94374,0.92218,27.82242,2197.75267,5635.27151,31.91145,1516.15055,4434.22656,885.04313,523.66274,505.6549,1173633,49445
1 14,0.70513,0.78497,31.91145,1516.15055,4434.22656,14.43779,1835.45790,5065.32339,1142.88236,4098.32549,5159.03138,3143768,54340
1 16,0.52825,0.27419,14.43779,1835.45790,5065.32339,42.90162,2403.10632,5888.99033,11429.67451,28016.21569,63283.85098,2051817,56741
1 15,0.11298,0.30797,42.90162,2403.10632,5888.99033,15.21579,2059.35216,5407.81927,15564.95295,37418.02353,79541.77255,586990,37197
1 9,0.68948,0.38818,15.21579,2059.35216,5407.81927,30.36534,2086.18997,5392.38626,9009.08236,20602.03529,54393.41568,4630933,91288
1 9,0.78002,0.88115,30.36534,2086.18997,5392.38626,0.00000,1530.67537,4573.48038,11217.96862,20335.72941,17444.45098,5044540,73180
1 10,0.41806,0.20318,0.00000,1530.67537,4573.48038,32.84020,1773.57286,4967.52042,21641.88235,37887.77255,61889.34509,196054,10293
1 15,0.48140,0.18986,32.84020,1773.57286,4967.52042,0.00000,1268.78487,4154.59369,21608.63922,25637.37647,31197.62353,13851345,101385
0 15,0.61163,0.64399,0.00000,1268.78487,4154.59369,20.39768,2125.19029,5441.80167,11372.85883,12450.0549,6921.36863,693528,11056
1 20,0.69788,0.14947,20.39768,2125.19029,5441.80167,30.08751,1938.86710,5291.28012,6749.58823,9342.79215,18912.22353,2570646,51947
1 19,0.75531,0.65714,30.08751,1938.86710,5291.28012,55.72537,1916.36754,5193.72128,645.5451,588.25098,1240.18431,270968,11005
1 21,0.58225,0.96313,55.72537,1916.36754,5193.72128,12.67486,1588.10384,4658.94324,2876.14902,7107.91372,10935.50588,5799047,84689
0 10,0.31898,0.26435,12.67486,1588.10384,4658.94324,29.25993,1855.29522,5066.92151,8963.26275,12785.15294,24751.15294,3521444,50141
1 14,0.84828,0.72423,29.25993,1855.29522,5066.92151,34.06658,2014.61499,5396.42188,3835.03922,6425.55294,5659.98039,978072,22618
1 11,0.36167,0.91338,34.06658,2014.61499,5396.42188,36.60523,2087.42448,5503.05075,4488.42353,7351.58039,2801.30589,4396297,82888
1 8,0.92228,0.86283,36.60523,2087.42448,5503.05075,22.50652,1607.38843,4766.25476,11374.65882,13824.64706,8392.76471,2288455,37721
0 8,0.92332,0.14644,22.50652,1607.38843,4766.25476,20.84429,1838.69495,5071.65671,11840.45098,16265.01568,20646.72157,323505,8626
1 22,0.79227,0.20056,20.84429,1838.69495,5071.65671,41.94083,1840.44053,5153.42636,24968.59215,31784.32549,47676.78039,2723248,57135
1 13,0.90636,0.81908,41.94083,1840.44053,5153.42636,41.38625,2224.64265,5669.29971,18117.69019,15635.09412,22622.2,2070588,55066
0 21,0.96156,0.94853,41.38625,2224.64265,5669.29971,21.80912,1835.17134,5092.46133,11156.09019,17987.94902,30315.82353,523255,43892
1 11,0.69503,0.59555,21.80912,1835.17134,5092.46133,39.82319,2317.42062,5686.42358,2698.3647,24483.41569,63843.09804,1152733,55858
